,tweets,label,username,location
0,"@ryanjreilly The power of political derangement. The “online sleuths” hate Trump supporters so much they’re willing to donate hundreds of hours of their lives to tracking down every unarmed, mostly peaceful protester they can. How’d they get politically deranged? Mainstream media manipulation",,FudgeTosser,All up in the fudge.
1,Via @crooksandliars: We Found Ron DeSantis! He's Trying To Kill His Wife With COVID! https://t.co/rfNy6zKKTU | #trump #gop #republicans,,thejoshuablog,new york city
2,"@rewinn @amvetsupport Because they are abusers and trump “legitimizes” their hate, misogyny, bigotry, racism…",,AmieMcWayne,
3,"For 2 years Democrats have insisted that all aspects of life must be stopped for Covid … except for every woke cause

➡️BLM protests/riots are more important
➡️Celebrations of Trump losing/for abortion are more important
➡️Anything supporting drag/trans/gay is more important https://t.co/3zafRIsb9o",,hereispublius,Virginia
4,"Trump and his klan are like cockroaches, they will survive anything. Even the overthrow attempts of our government.

They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/w7owUULuxU",,RobertTraugh,"Canton, OH"
5,What real republicans especially real Donald Trump won't tell people in you see they don't want people to rise above hate they want people to hate because without it they wouldn't actually exist https://t.co/07xJbLGfHo,,KevinJosephKel1,
6,They want to burn Trump up for January 6th so that that way we can never protest speak out against our government just takes away the First Amendment then they'll come get my gunsNOT,,edfall1,Florida
7,"I think DJT calling for the national guard days in advance, but refused by the D.C. mayor &amp; Pelosi, Trump calling for a peaceful protest, the police openly coaxing the protesters into the building is all telling, dem rhetoric since then is curious. Nov. 3rd was the insurrection. https://t.co/maYAwHNu5e",,rickdowd1029,Florida 
8,If a mob of terrorists surrounded Mar a Lardass threatening to kill those inside and one came through a window like Ashli Babbit did - Trump would order his body guards to shoot her. She's not a hero. She was leading a murderous terrorist  mob. Self defense.,,DianeToucan,
9,@Angry_Staffer It’s the same ppl who won’t get vaccinated. It’s weird now that they want trump as president but they hate him for making a vaccine,,br0k3nhalos,witness protection
10,"NEW — They resigned in protest over Jan. 6, then never went after Trump again.

""POLITICO contacted 18 Trump administration officials who stepped down... Only one agreed to speak on the record about their decision that day.”

https://t.co/4clFpXaiB2

@meridithmcgraw @dlippman",,samstein,"Washington, D.C."
11,They resigned in protest over Jan. 6 - then never went after Trump again https://t.co/8JNTridNz7 #SmartNews,,MichelleT2013,"Houston, TX"
12,Two more days until the one year anniversary of Capital attack under Trump's order. Trump's supporters are trying to say that it was a peaceful protest 😉 🙄,,NoMoreT53693016,"Portland, OR"
13,"@RMaioris @ProfessorPape @UChicago @kathleen_belew @ChicagoCouncil @bt_hanson But do you know why liberals hate Trump so much?

President Trump was drawing bigger crowds at the end of his first run than he did at the beginning.  His crowds GREW because Trump was a good and successful leader.

Obama's crowds shrank.  

It really is that simple.",,varingian,United States of America
14,"First Thing: Cheney says Republicans must choose between Trump and truth https://HAHAHAHA! Best laugh of the New Year so far. The Daughter of worst liar Dick Cheney and the BS ""WMD"" lies used to attack a nation 2 senselessly kill many women, men &amp; children 2 destroy a nation.",,elvsinus,"Florida, USA"
15,They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/VJDTQp47wv via @politico,,giamz,"Wilmington, NC"
16,@hrox901 @pol1tically @PalmerReport Yep .  I hate Trump but I also don’t live or at least try not to live in the fantasy land that’s Twitter,,BrianKe94518410,
17,By Allah this woman is as muslim as Donald Trump https://t.co/FFCDbhAjpX,,mde_in_heaven,ጎንደር / mudug / Karakura town
18,trump said the election was fixed.He meant that he was trying to fix the election by stealing Votes to having Mike and some other people give him the Votes to win.When that did not work he got a mob and gave them a hate speech and told them to go to White house to steal the Votes,,GeorgeH06155993,
19,"Govt. are terrorists. Not a bunch of Trump supporters who went on a museum tour. A so called “insurrection” where all those who participated, came unarmed. The best part about it was seeing those responsible for the wars that kill thousands hide under their desks like cowards.",,em20___,
20,"This kind of BS OP-ED is what causes hate &amp; division in America! Why is this allowed but peaceful disagreements are banned? ⁦@AppleNews⁩ “Millions of Angry, Armed Americans Stand Ready to Seize Power If Trump Loses in 2024” - ⁦@Newsweek⁩  https://t.co/Cq6ko3GVUQ",,LkDeS3,"Florida, USA"
21,"Or how Karamo referred to snatched (aave) as ""gay language"" and continued to preach about tolerance and ""not all __"" when he found a Trump hat in the closet of one of the people they were helping.",,Oui_Cake,🌱 He/They
22,"My latest! 
Angry mops from all over the country came to the Capitol with lots of signs, bananas, hats, costumes to protest the defeat of Trump.  In 2021, the country saw more protest symbols in the Capitol since the civil wars.
https://t.co/dJhbZSH2PD",,ahmediaTV,https://www.belahdan.com
23,"@TheNarrator000 @mtracey So when democrats said the trump vaccine would kill them all, they were anti vax?",,cultures_shadow,
24,"In the last year of his term, Trump decided that the US can't afford to cancel student debt or nationalize healthcare, but it can launch another trillion-dollar war that gonna last decades &amp; kill more civilians

and Biden decided to end our longest war in first year

#FreshWords",,AliciaSmith987,
25,"They resigned in protest over Jan. 6 — then never went after Trump again
 https://t.co/451yy45uk1",,Angelaxg5504,"North Carolina, USA"
26,@RadioFreeTom I know some educated upper middle class whites that support Trump.  They are racists at heart.  Plain and simple.  And I know rural grade school educated farmers who hate Trump that aren’t racist.,,KopsMiss,
27,@sbg1 What % of Republicans believe  climate change is a hoax? What % of them believe Pres. Obama is Muslim? What % believe Trump did a great job handling COVID? What % still believe COVID is a hoax?,,StarkerSusan,
28,"The past never goes away no matter how quiet one remains!

They resigned in protest over Jan. 6 — then never went after Trump again https://t.co/ZCnpQI2MqS via @politico",,FozzieBear88,🌊#Resist 🗯Tweeting4Truth⚖️
29,They resigned in protest over Jan. 6 - then never went after Trump again #SmartNews  https://t.co/IEBmLiuu0O,,WilliamsJeanean,
